Cycle,Error
0,14
1,9
2,9
3,9
4,8
5,8
6,8
7,8
8,7
9,7
10,7
11,5
12,5
13,5
14,3
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,0
