Cycle,Error
0,33
1,29
2,29
3,29
4,28
5,28
6,28
7,28
8,28
9,24
10,24
11,24
12,24
13,24
14,24
15,24
16,23
17,23
18,22
19,22
20,22
21,21
22,21
23,21
24,19
25,15
26,15
27,15
28,15
29,15
30,15
31,14
32,14
33,14
34,12
35,12
36,12
37,12
38,12
39,11
40,11
41,11
42,11
43,10
44,10
45,8
46,8
47,8
48,7
49,7
50,7
51,7
52,7
53,7
54,6
55,6
56,5
57,5
58,5
59,5
60,5
61,5
62,4
63,3
64,3
65,2
66,2
67,2
68,1
69,0
